timestamp,source_platform,env_domain,env_subgenre,thread_id,text,model_label,model_confidence,latency_ms
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,Let’s rideee,Normal,0.9157,675.19
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,Ride harder,Normal,0.9406,34.84
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,lets goooooooooo chat!!!,Normal,0.6054,44.79
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,new intro,Normal,0.9605,33.25
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE EEEEEEEEEEE,Normal,0.9553,68.24
2026-09-23 12:35:00,YouTube,News,Live news,7F8J_XE3zzU,more like codes,Normal,0.9018,28.00
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,THE KING HAS RETURNED,Normal,0.9516,31.41
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,:_PeanutJork::_PeanutJork::_PeanutJork:,Normal,0.9547,45.14
2026-09-23 12:35:00,YouTube,Psychology,Personality theory,Dt2pH5HBsIU,Woo,Normal,0.8797,27.72
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,Yes rust will do that to you I haven’t played in a long time but I have 1200 hours,Normal,0.9547,59.07
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,whats wrong with your eye,Normal,0.7349,38.87
2026-09-23 12:35:00,YouTube,Gaming,Survival,f_F-evhr-Z0,hmmmm.hmmm.hmmmm,Normal,0.9656,41.29
2026-09-23 12:35:00,YouTube,Music,Chill house,36YnV9STBqc,hi,Normal,0.9375,32.36
2026-09-23 12:35:01,YouTube,Gaming,Survival,f_F-evhr-Z0,Shut the door!!!!,Normal,0.8164,38.02
